fusionTranscriptID	fusionGenePair	breakpointID	5pStrand	3pStrand	junctionReads	spanningReads	TCGACancerCode	TCGASampleID
ERCC6L2::CDC14B__9:96004701-9:96541892	ERCC6L2::CDC14B	9:96004701-9:96541892	+	-	3	4	SARC	TCGA-3B-A9HV-01A-11R-A39D-07
TMEM35A::SLC25A43__X:101079122-X:119452009	TMEM35A::SLC25A43	X:101079122-X:119452009	+	+	1	5	SARC	TCGA-3B-A9HV-01A-11R-A39D-07
LSM4::OVOL3__19:18323018-19:36111369	LSM4::OVOL3	19:18323018-19:36111369	-	+	20	487	SARC	TCGA-3B-A9HX-01A-11R-A39D-07
PIAS4::ZNF787__19:4033580-19:56103227	PIAS4::ZNF787	19:4033580-19:56103227	+	-	49	137	SARC	TCGA-3B-A9HX-01A-11R-A39D-07
SIN3B::TBC1D17__19:16876578-19:49880279	SIN3B::TBC1D17	19:16876578-19:49880279	+	+	29	215	SARC	TCGA-3B-A9HX-01A-11R-A39D-07
TPM4::IGFL2__19:16067738-19:46160415	TPM4::IGFL2	19:16067738-19:46160415	+	+	33	103	SARC	TCGA-3B-A9HX-01A-11R-A39D-07
FHL2::UNC93B5__2:105386361-11:67716005	FHL2::UNC93B5	2:105386361-11:67716005	-	-	9	9	SARC	TCGA-3B-A9HX-01A-11R-A39D-07
ZC3H4::KANK3__19:47110895-19:8325096	ZC3H4::KANK3	19:47110895-19:8325096	-	-	7	14	SARC	TCGA-3B-A9HX-01A-11R-A39D-07
HNRNPM::ZNF788__19:8455574-19:12111246	HNRNPM::ZNF788	19:8455574-19:12111246	+	+	1	32	SARC	TCGA-3B-A9HX-01A-11R-A39D-07
TGFB1::CCDC97__19:41332128-19:41316384	TGFB1::CCDC97	19:41332128-19:41316384	-	+	5	16	SARC	TCGA-3B-A9HX-01A-11R-A39D-07
ZNF431::SIGLEC6__19:21143643-19:51531519	ZNF431::SIGLEC6	19:21143643-19:51531519	+	-	5	14	SARC	TCGA-3B-A9HX-01A-11R-A39D-07
ZNF569::ZNF497__19:37444907-19:58358585	ZNF569::ZNF497	19:37444907-19:58358585	-	-	5	14	SARC	TCGA-3B-A9HX-01A-11R-A39D-07
ZNF416::ACTN4__19:57578057-19:38700600	ZNF416::ACTN4	19:57578057-19:38700600	-	+	2	16	SARC	TCGA-3B-A9HX-01A-11R-A39D-07
ZNF17::ARHGAP35__19:57411406-19:46987989	ZNF17::ARHGAP35	19:57411406-19:46987989	+	+	1	5	SARC	TCGA-3B-A9HX-01A-11R-A39D-07
ZNF799::SIGLECL1__19:12401068-19:51263883	ZNF799::SIGLECL1	19:12401068-19:51263883	-	+	1	4	SARC	TCGA-3B-A9HX-01A-11R-A39D-07
SORBS1::FAM135B__10:95346406-8:138243068	SORBS1::FAM135B	10:95346406-8:138243068	-	-	44	126	SARC	TCGA-3B-A9HY-01A-11R-A39D-07
HNRNPL::MAP4K1__19:38852296-19:38597384	HNRNPL::MAP4K1	19:38852296-19:38597384	-	-	7	8	SARC	TCGA-3B-A9HY-01A-11R-A39D-07
FAM20B::RALGPS2__1:179026098-1:178889642	FAM20B::RALGPS2	1:179026098-1:178889642	+	+	2	1	SARC	TCGA-3B-A9HY-01A-11R-A39D-07
RNF217::RSPO3__6:124963426-6:127195823	RNF217::RSPO3	6:124963426-6:127195823	+	+	3	55	SARC	TCGA-3B-A9HZ-01A-11R-A39D-07
REV3L::C4B__6:111405470-6:32034514	REV3L::C4B	6:111405470-6:32034514	-	+	2	11	SARC	TCGA-3B-A9HZ-01A-11R-A39D-07
INPP5A::TUBGCP2__10:132607956-10:133302980	INPP5A::TUBGCP2	10:132607956-10:133302980	+	-	1	5	SARC	TCGA-3B-A9I1-01A-11R-A39D-07
FAM126A::STEAP1B__7:22976210-7:22419836	FAM126A::STEAP1B	7:22976210-7:22419836	-	-	36	252	SARC	TCGA-3B-A9I3-01A-11R-A39D-07
PPP1R18::TNXB__6:30684408-6:32053711	PPP1R18::TNXB	6:30684408-6:32053711	-	-	7	20	SARC	TCGA-3B-A9I3-01A-11R-A39D-07
CHIC1::HDAC8__X:73584572-X:72351838	CHIC1::HDAC8	X:73584572-X:72351838	+	-	2	20	SARC	TCGA-3B-A9I3-01A-11R-A39D-07
DDB1::SDHA__11:61313499-5:235144	DDB1::SDHA	11:61313499-5:235144	-	+	9	48	SARC	TCGA-3R-A8YX-01A-11R-A37L-07
CNOT2::SSH3__12:70243480-11:67307371	CNOT2::SSH3	12:70243480-11:67307371	+	+	13	11	SARC	TCGA-3R-A8YX-01A-11R-A37L-07
UVRAG::MS4A8__11:76007621-11:60703378	UVRAG::MS4A8	11:76007621-11:60703378	+	+	6	23	SARC	TCGA-3R-A8YX-01A-11R-A37L-07
NEXN::PTGFR__1:77888759-1:78492672	NEXN::PTGFR	1:77888759-1:78492672	+	+	6	14	SARC	TCGA-3R-A8YX-01A-11R-A37L-07
ACSS3::AVIL__12:81078431-12:57811127	ACSS3::AVIL	12:81078431-12:57811127	+	-	5	11	SARC	TCGA-3R-A8YX-01A-11R-A37L-07
CNOT2::CPM__12:70278274-12:68932840	CNOT2::CPM	12:70278274-12:68932840	+	-	1	4	SARC	TCGA-3R-A8YX-01A-11R-A37L-07
YEATS4::NME7__12:69365884-1:169132817	YEATS4::NME7	12:69365884-1:169132817	+	-	53	434	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
RAP1B::DPT__12:68611043-1:168714346	RAP1B::DPT	12:68611043-1:168714346	+	-	55	258	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
GAS5::ACP6__1:173866528-1:147631065	GAS5::ACP6	1:173866528-1:147631065	-	-	16	270	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
DENND1B::TSPAN31__1:197772868-12:57746589	DENND1B::TSPAN31	1:197772868-12:57746589	-	+	10	126	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
CPM::CCT2__12:68885792-12:69592976	CPM::CCT2	12:68885792-12:69592976	-	+	16	96	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
UEVLD::PRMT3__11:18588613-11:20452130	UEVLD::PRMT3	11:18588613-11:20452130	-	+	15	100	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
EIF3M::UEVLD__11:32596047-11:18570377	EIF3M::UEVLD	11:32596047-11:18570377	+	-	6	128	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
LRIG3::SLC16A7__12:58874055-12:59771219	LRIG3::SLC16A7	12:58874055-12:59771219	-	+	6	58	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
CTDSP2::RALB__12:57846372-2:120278618	CTDSP2::RALB	12:57846372-2:120278618	-	+	13	26	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
MDM1::RBMS2__12:68332228-12:56581184	MDM1::RBMS2	12:68332228-12:56581184	-	+	8	37	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
UCHL5::C1orf112__1:193021097-1:169849500	UCHL5::C1orf112	1:193021097-1:169849500	-	+	4	48	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
PRRG4::ZNF215__11:32840239-11:6932094	PRRG4::ZNF215	11:32840239-11:6932094	+	+	4	37	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
MARCH6::GALNT18__5:10411537-11:11379264	MARCH6::GALNT18	5:10411537-11:11379264	+	-	8	18	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
ZBTB37::FSD1L__1:173888764-9:105549091	ZBTB37::FSD1L	1:173888764-9:105549091	+	+	8	18	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
ASPM::PIGC__1:197146141-1:172415374	ASPM::PIGC	1:197146141-1:172415374	-	-	4	31	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
MICAL2::NELL1__11:12162419-11:21370853	MICAL2::NELL1	11:12162419-11:21370853	+	+	5	25	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
CFH::ASPM__1:196726940-1:197142429	CFH::ASPM	1:196726940-1:197142429	+	-	4	25	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
DLGAP1::METTL4__18:3814059-18:2567654	DLGAP1::METTL4	18:3814059-18:2567654	-	-	3	11	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
DCAF8::CD1C__1:160237135-1:158291134	DCAF8::CD1C	1:160237135-1:158291134	-	+	2	13	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
GALNT18::PARVA__11:11621359-11:12527849	GALNT18::PARVA	11:11621359-11:12527849	-	+	2	12	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
MDM2::DDR2__12:68820374-1:162655211	MDM2::DDR2	12:68820374-1:162655211	+	+	3	7	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
SUCO::GLIPR1L1__1:172585948-12:75363102	SUCO::GLIPR1L1	1:172585948-12:75363102	+	+	1	13	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
GNS::SLC16A7__12:64752698-12:59779423	GNS::SLC16A7	12:64752698-12:59779423	-	+	2	5	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
ATP1B1::IL26__1:169111498-12:68225283	ATP1B1::IL26	1:169111498-12:68225283	+	-	1	8	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
NME7::CCDC181__1:169367708-1:169424950	NME7::CCDC181	1:169367708-1:169424950	-	-	1	8	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
MDM1::RAP1B__12:68313443-12:68650400	MDM1::RAP1B	12:68313443-12:68650400	-	+	2	2	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
USP15::TPH2__12:62306058-12:72105648	USP15::TPH2	12:62306058-12:72105648	+	+	1	6	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
NCOA3::PTPRT__20:47502019-20:42472562	NCOA3::PTPRT	20:47502019-20:42472562	+	-	1	4	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
PARVA::HBG2__11:12377783-11:5345899	PARVA::HBG2	11:12377783-11:5345899	+	-	1	4	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
SERGEF::HBE1__11:17988597-11:5270156	SERGEF::HBE1	11:17988597-11:5270156	-	-	1	4	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
R3HDM2::RAP1B__12:57430720-12:68650400	R3HDM2::RAP1B	12:57430720-12:68650400	-	+	1000	1000	SARC	TCGA-DX-A1KU-01A-32R-A24X-07
PTPN11::EPYC__12:112456063-12:90978262	PTPN11::EPYC	12:112456063-12:90978262	+	-	518	1140	SARC	TCGA-DX-A1KW-01A-22R-A24X-07
PWP1::CCDC63__12:107704747-12:110893076	PWP1::CCDC63	12:107704747-12:110893076	+	+	228	546	SARC	TCGA-DX-A1KW-01A-22R-A24X-07
GNS::NUP107__12:64737004-12:68709238	GNS::NUP107	12:64737004-12:68709238	-	+	97	337	SARC	TCGA-DX-A1KW-01A-22R-A24X-07
HECTD4::AMDHD1__12:112381952-12:95966348	HECTD4::AMDHD1	12:112381952-12:95966348	-	+	43	108	SARC	TCGA-DX-A1KW-01A-22R-A24X-07
CAMKK2::DIP2B__12:121296638-12:50625976	CAMKK2::DIP2B	12:121296638-12:50625976	-	+	14	70	SARC	TCGA-DX-A1KW-01A-22R-A24X-07
CHPT1::ATXN2__12:101698134-12:111510582	CHPT1::ATXN2	12:101698134-12:111510582	+	-	10	82	SARC	TCGA-DX-A1KW-01A-22R-A24X-07
KRR1::CDK17__12:75499813-12:96313454	KRR1::CDK17	12:75499813-12:96313454	-	-	8	24	SARC	TCGA-DX-A1KW-01A-22R-A24X-07
ZDHHC17::CSRP2__12:76764329-12:76866261	ZDHHC17::CSRP2	12:76764329-12:76866261	+	-	4	32	SARC	TCGA-DX-A1KW-01A-22R-A24X-07
CCT2::OR8S1__12:69586818-12:48528503	CCT2::OR8S1	12:69586818-12:48528503	+	+	4	31	SARC	TCGA-DX-A1KW-01A-22R-A24X-07
KNTC1::BTBD11__12:122580670-12:107659361	KNTC1::BTBD11	12:122580670-12:107659361	+	+	7	18	SARC	TCGA-DX-A1KW-01A-22R-A24X-07
TMEM120B::GRIP1__12:121773513-12:66379436	TMEM120B::GRIP1	12:121773513-12:66379436	+	-	6	21	SARC	TCGA-DX-A1KW-01A-22R-A24X-07
CLIP1::MORN3__12:122332987-12:121669512	CLIP1::MORN3	12:122332987-12:121669512	-	-	1	4	SARC	TCGA-DX-A1KW-01A-22R-A24X-07
FMNL3::HECTD4__12:49707057-12:112283304	FMNL3::HECTD4	12:49707057-12:112283304	-	-	1000	1000	SARC	TCGA-DX-A1KW-01A-22R-A24X-07
PTPN11::MYRFL__12:112419124-12:69903643	PTPN11::MYRFL	12:112419124-12:69903643	+	+	1000	1000	SARC	TCGA-DX-A1KW-01A-22R-A24X-07
BCL9L::DGKI__11:118925238-7:137690002	BCL9L::DGKI	11:118925238-7:137690002	-	-	9	53	SARC	TCGA-DX-A1KX-01A-22R-A24X-07
CHRDL1::SLC25A5__X:110719835-X:119468523	CHRDL1::SLC25A5	X:110719835-X:119468523	-	+	4	45	SARC	TCGA-DX-A1KX-01A-22R-A24X-07
ZNF98::ACTR5__19:22514364-20:38771559	ZNF98::ACTR5	19:22514364-20:38771559	-	+	7	22	SARC	TCGA-DX-A1KX-01A-22R-A24X-07
STEAP4::PON1__7:88306792-7:95316789	STEAP4::PON1	7:88306792-7:95316789	-	-	1	35	SARC	TCGA-DX-A1KX-01A-22R-A24X-07
FAM180A::AHCYL2__7:135737099-7:129379638	FAM180A::AHCYL2	7:135737099-7:129379638	-	+	3	21	SARC	TCGA-DX-A1KX-01A-22R-A24X-07
HNF4A::MYBL2__20:44407475-20:43711488	HNF4A::MYBL2	20:44407475-20:43711488	+	+	4	11	SARC	TCGA-DX-A1KX-01A-22R-A24X-07
ARL15::PARP8__5:54310432-5:50750151	ARL15::PARP8	5:54310432-5:50750151	-	+	1	20	SARC	TCGA-DX-A1KX-01A-22R-A24X-07
CLIC2::MAMLD1__X:155334371-X:150469745	CLIC2::MAMLD1	X:155334371-X:150469745	-	+	3	9	SARC	TCGA-DX-A1KX-01A-22R-A24X-07
PTPRD::MTERF4__9:8633317-2:241075682	PTPRD::MTERF4	9:8633317-2:241075682	-	-	2	8	SARC	TCGA-DX-A1KX-01A-22R-A24X-07
YAP1::REG4__11:102114394-1:119798602	YAP1::REG4	11:102114394-1:119798602	+	-	2	6	SARC	TCGA-DX-A1KX-01A-22R-A24X-07
TEKT4P2::TMLHE__21:9127489-X:155545277	TEKT4P2::TMLHE	21:9127489-X:155545277	-	-	1	9	SARC	TCGA-DX-A1KX-01A-22R-A24X-07
PFKFB3::PALM2__10:6226365-9:109867491	PFKFB3::PALM2	10:6226365-9:109867491	+	+	1	6	SARC	TCGA-DX-A1KX-01A-22R-A24X-07
SLC6A8::PREP__X:153688836-6:105397927	SLC6A8::PREP	X:153688836-6:105397927	+	-	1	4	SARC	TCGA-DX-A1KX-01A-22R-A24X-07
ARFGEF2::HNF4A__20:48922010-20:44406058	ARFGEF2::HNF4A	20:48922010-20:44406058	+	+	1	3	SARC	TCGA-DX-A1KX-01A-22R-A24X-07
SUCO::CXorf21__1:172557794-X:30576866	SUCO::CXorf21	1:172557794-X:30576866	+	-	23	387	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
FAM220A::SCGB1A1__7:6348573-11:62422221	FAM220A::SCGB1A1	7:6348573-11:62422221	-	+	14	271	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
ZDBF2::PSMD1__2:206281909-2:231138736	ZDBF2::PSMD1	2:206281909-2:231138736	+	+	28	112	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
RAB5A::PLCL2__3:19951061-3:17009674	RAB5A::PLCL2	3:19951061-3:17009674	+	+	17	147	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
ASH1L::SELL__1:155562153-1:169696553	ASH1L::SELL	1:155562153-1:169696553	-	-	18	123	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
NUF2::PHEX__1:163340426-X:22133523	NUF2::PHEX	1:163340426-X:22133523	+	+	15	83	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
SP3::CYBRD1__2:173963761-2:171553346	SP3::CYBRD1	2:173963761-2:171553346	-	+	19	18	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
WDFY1::PARD3B__2:223945148-2:205499896	WDFY1::PARD3B	2:223945148-2:205499896	-	+	9	57	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
ARHGAP24::STAC__4:85475559-3:36528696	ARHGAP24::STAC	4:85475559-3:36528696	+	+	10	43	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
ZNF558::CERS4__19:8831318-19:8261688	ZNF558::CERS4	19:8831318-19:8261688	-	+	6	55	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
RBBP7::TTC24__X:16870038-1:156582231	RBBP7::TTC24	X:16870038-1:156582231	-	+	11	33	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
IL11RA::WDR72__9:34652233-15:53597274	IL11RA::WDR72	9:34652233-15:53597274	+	-	6	49	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
CRK::ABR__17:1436790-17:1125367	CRK::ABR	17:1436790-17:1125367	-	-	8	32	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
GRIP1::DAZL__12:66377174-3:16592148	GRIP1::DAZL	12:66377174-3:16592148	-	-	4	43	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
PPP4R2::FBXW7__3:72998158-4:152412529	PPP4R2::FBXW7	3:72998158-4:152412529	+	-	5	39	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
ABCF2::WDR86__7:151214879-7:151396196	ABCF2::WDR86	7:151214879-7:151396196	-	-	4	38	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
PRDX6::FAM78B__1:173477492-1:166070763	PRDX6::FAM78B	1:173477492-1:166070763	+	-	5	30	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
MEF2A::SV2B__15:99690428-15:91251819	MEF2A::SV2B	15:99690428-15:91251819	+	+	5	27	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
GPR89B::DNM3__1:147928578-1:172253573	GPR89B::DNM3	1:147928578-1:172253573	+	+	3	32	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
PIEZO2::IGHVIII-25-1__18:10979535-14:106293807	PIEZO2::IGHVIII-25-1	18:10979535-14:106293807	-	-	5	22	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
PIAS1::MEF2A__15:68054350-15:99671323	PIAS1::MEF2A	15:68054350-15:99671323	+	+	9	2	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
GALT::WDR72__9:34648456-15:53597274	GALT::WDR72	9:34648456-15:53597274	+	-	2	28	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
ARMC9::PARD3B__2:231240041-2:205440370	ARMC9::PARD3B	2:231240041-2:205440370	+	+	4	16	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
DMD::LIX1L__X:31260955-1:145947782	DMD::LIX1L	X:31260955-1:145947782	-	-	6	6	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
WNT5B::CD163__12:1646297-12:7471397	WNT5B::CD163	12:1646297-12:7471397	+	-	5	9	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
PTPRS::ERLEC1__19:5293141-2:53801397	PTPRS::ERLEC1	19:5293141-2:53801397	-	+	1	24	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
LIN7A::GRIP1__12:80889251-12:66465422	LIN7A::GRIP1	12:80889251-12:66465422	-	-	2	19	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
RPL23AP82::ABCC8__22:50785293-11:17408517	RPL23AP82::ABCC8	22:50785293-11:17408517	+	-	1	23	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
APOO::ACOT9__X:23907694-X:23736016	APOO::ACOT9	X:23907694-X:23736016	-	-	2	13	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
ITGA11::DRAIC__15:68339500-15:69563116	ITGA11::DRAIC	15:68339500-15:69563116	-	+	1	16	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
MEF2D::SYAP1__1:156500486-X:16754945	MEF2D::SYAP1	1:156500486-X:16754945	-	+	1	15	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
METTL13::NUP210L__1:171814023-1:154012370	METTL13::NUP210L	1:171814023-1:154012370	+	-	1	15	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
TMEM150C::TYW1__4:82561906-7:67083430	TMEM150C::TYW1	4:82561906-7:67083430	-	+	3	7	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
ABHD17A::NDUFA7__19:1879921-19:8316645	ABHD17A::NDUFA7	19:1879921-19:8316645	-	-	1	12	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
ZFX::SYAP1__X:24149253-X:16757162	ZFX::SYAP1	X:24149253-X:16757162	+	+	1	10	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
LMNA::COL1A1__1:156138757-17:50196367	LMNA::COL1A1	1:156138757-17:50196367	+	-	1	9	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
TBC1D15::SLC6A6__12:71872168-3:14443624	TBC1D15::SLC6A6	12:71872168-3:14443624	+	+	1	9	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
PDK3::EIF2S3__X:24465561-X:24055615	PDK3::EIF2S3	X:24465561-X:24055615	+	+	1	8	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
RPRD2::LCE1C__1:150417725-1:152805498	RPRD2::LCE1C	1:150417725-1:152805498	+	-	1	7	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
OTUD7B::POLR3GL__1:149959684-1:145977483	OTUD7B::POLR3GL	1:149959684-1:145977483	-	+	1	6	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
RARB::PRDM8__3:25174575-4:80191472	RARB::PRDM8	3:25174575-4:80191472	+	+	1	6	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
SMARCA4::CARM1__19:10961174-19:10904951	SMARCA4::CARM1	19:10961174-19:10904951	+	+	1	6	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
ARHGAP44::SHMT1__17:12896511-17:18356000	ARHGAP44::SHMT1	17:12896511-17:18356000	+	-	1	4	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
GUCY1B3::PTPRG__4:155759860-3:61989625	GUCY1B3::PTPRG	4:155759860-3:61989625	+	+	1	4	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
ZNF558::OSBPL6__19:8831318-2:178284927	ZNF558::OSBPL6	19:8831318-2:178284927	-	+	1	2	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
ACAN::MYOM1__15:88849732-18:3168850	ACAN::MYOM1	15:88849732-18:3168850	+	-	1000	1000	SARC	TCGA-DX-A1KY-01A-11R-A24X-07
TBC1D15::CPM__12:71839811-12:68859071	TBC1D15::CPM	12:71839811-12:68859071	+	-	53	56	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
CTDSP2::LGR5__12:57823904-12:71553073	CTDSP2::LGR5	12:57823904-12:71553073	-	+	26	147	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
PALM::TISP43__19:740483-2:130582258	PALM::TISP43	19:740483-2:130582258	+	+	13	176	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
FBXL7::MRPL51__5:15500713-12:6492972	FBXL7::MRPL51	5:15500713-12:6492972	+	-	17	87	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
TM7SF3::KCNC2__12:26990450-12:75051317	TM7SF3::KCNC2	12:26990450-12:75051317	-	-	13	82	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
GRIN2B::MYF6__12:13979928-12:80707855	GRIN2B::MYF6	12:13979928-12:80707855	-	+	12	76	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
DSE::PLEKHG1__6:116399662-6:150809105	DSE::PLEKHG1	6:116399662-6:150809105	+	+	10	83	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
METTL21B::PTPRR__12:57773128-12:70764778	METTL21B::PTPRR	12:57773128-12:70764778	+	-	17	51	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
ANKH::STEAP3__5:14871352-2:119245489	ANKH::STEAP3	5:14871352-2:119245489	-	+	15	44	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
PLEKHB2::GABRR1__2:131105398-6:89201265	PLEKHB2::GABRR1	2:131105398-6:89201265	+	-	4	72	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
TSPAN31::ITPR2__12:57746756-12:26495260	TSPAN31::ITPR2	12:57746756-12:26495260	+	-	8	54	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
FHL1::TSPAN31__X:136169980-12:57746589	FHL1::TSPAN31	X:136169980-12:57746589	+	+	9	27	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
WBP11::LGR5__12:14800752-12:71504614	WBP11::LGR5	12:14800752-12:71504614	-	+	5	41	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
ISCA1::WWP1__9:86282378-8:86435452	ISCA1::WWP1	9:86282378-8:86435452	-	+	5	32	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
PRPF40B::CDH4__12:49568723-20:61873728	PRPF40B::CDH4	12:49568723-20:61873728	+	+	10	11	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
TXLNB::PDLIM1__6:139288478-10:95238687	TXLNB::PDLIM1	6:139288478-10:95238687	-	-	4	35	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
SLIT3::ITPR2__5:169193479-12:26790227	SLIT3::ITPR2	5:169193479-12:26790227	-	-	5	22	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
DMXL1::NANS__5:119071656-9:98080816	DMXL1::NANS	5:119071656-9:98080816	+	+	2	32	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
PTCH1::IPPK__9:95506407-9:92619565	PTCH1::IPPK	9:95506407-9:92619565	-	-	6	16	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
MSRA::SPAG11B__8:10054658-8:7462859	MSRA::SPAG11B	8:10054658-8:7462859	+	-	4	21	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
HNRNPK::NR6A1__9:83977689-9:124554570	HNRNPK::NR6A1	9:83977689-9:124554570	-	-	5	16	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
TEAD4::MAP3K12__12:2960040-12:53487145	TEAD4::MAP3K12	12:2960040-12:53487145	+	-	3	24	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
MED21::PIP5K1C__12:27022621-19:3662001	MED21::PIP5K1C	12:27022621-19:3662001	+	-	4	19	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
PIK3C2G::CTDSP2__12:18282759-12:57824319	PIK3C2G::CTDSP2	12:18282759-12:57824319	+	-	5	10	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
DCSTAMP::TSPAN31__8:104340440-12:57746589	DCSTAMP::TSPAN31	8:104340440-12:57746589	+	+	2	21	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
TULP3::CCSER2__12:2934561-10:84417771	TULP3::CCSER2	12:2934561-10:84417771	+	+	3	17	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
FKBP4::GAPDH__12:2797871-12:6534810	FKBP4::GAPDH	12:2797871-12:6534810	+	+	1	24	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
CDH4::DPPA3__20:61873900-12:7715183	CDH4::DPPA3	20:61873900-12:7715183	+	+	2	19	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
FHL1::DCSTAMP__X:136169980-8:104339806	FHL1::DCSTAMP	X:136169980-8:104339806	+	+	2	17	SARC	TCGA-DX-A1KZ-01A-11R-A24X-07
